@lat,@lon,name
33.8574741,130.8049299,大谷JCT/出口
35.9805742,127.6431862,무주IC
37.6675057,126.6445041,누산교차로
37.6691506,126.6457354,누산교차로
37.6680106,126.6481650,누산교차로
37.6688798,126.6511467,누산교차로
35.1044604,128.4287655,임곡교차로
35.1042009,128.4249851,임곡교차로
35.4204026,126.6551118,고창JC
35.5875416,127.7701149,지곡 나들목
33.8566864,130.8788904,北方出口
33.8652908,130.8725260,紫川JCT
33.3860689,130.4831693,山浦PA(下り)
33.3301674,130.3162056,金立SA(下り)
33.3232007,130.2810123,佐賀大和IC
33.3111406,130.2122749,小城PA/スマートIC（下り）
33.2882390,130.1342408,多久IC
33.2554043,130.0796633,多久西PA(下り)
33.1149447,129.9757606,嬉野IC
33.0191890,129.9451125,大村湾PA(下り)
35.4241405,127.8602143,산청IC
36.3848099,127.3375862,유성분기점
36.3903078,127.3375874,유성분기점
36.4220461,127.2925858,남세종IC
36.4287941,127.2869027,남세종IC
33.3651832,130.5412231,小郡鳥栖南スマートIC
33.3906190,130.5381963,鳥栖JCT
33.3150056,130.5591301,久留米IC
33.2146036,130.5239753,八女IC
33.8466626,130.8800050,若園出口
36.4899533,127.1194382,공주
36.4868609,127.0697375,서공주분기점
36.4934878,127.0270680,마곡사IC
36.5631973,126.9781921,유구IC
36.5667154,126.9732386,유구IC
35.0466083,126.9727569,화순IC
35.0426000,126.9751337,화순IC
35.0418786,126.9709187,화순IC
35.8760120,127.0458590,대흥 교차로
35.7287299,127.6049292,장수분기점
35.2484426,126.9697023,담양분기점
35.4158648,126.6549265,고창분기점
35.2567352,126.9697645,담양분기점
35.4372507,126.6628437,고창IC
36.2225439,127.9111658,황간IC
36.5327121,128.1671284,북상주IC
35.9417584,127.1749784,용진교차로
35.7169956,127.5927535,장수 나들목
35.8851928,127.0420656,용정분기점
35.1372168,129.1195487,
36.6164700,126.8479952,예산 휴게소 (당진 방향)
36.5972435,126.8656895,신양IC
36.6769360,126.7754807,예산수덕사 나들목
36.8214675,126.6496848,면천IC
36.8462329,126.6221115,당진분기점
36.8238455,126.6470630,면천IC
36.8558500,126.6259900,당진분기점
35.5330090,127.7471416,함양 나들목
35.4848257,127.5905625,지리산 나들목
35.5421482,127.7130398,서함양IC(하이패스)
35.5326959,127.7517024,함양 나들목
35.3630684,127.1370985,순창IC
35.2238922,126.9635230,고서분기점
35.2263240,126.9596601,고서분기점
35.5374407,127.7748962,함양 분기점
35.7014375,128.2474708,고령 나들목
35.7016478,128.2499304,고령 나들목
35.5332156,127.7668757,함양 분기점
35.4079117,127.3154309,남원 분기점
35.4830393,127.5835780,지리산 나들목
35.7177132,128.1680629,
37.1830110,127.0956474,동탄분기점
37.0168034,127.1440954,안성 휴게소 (부산방면)
36.9976063,127.1528295,안성
36.9384432,127.1894730,입장거봉포도휴게소 (서울방향)
36.9905645,127.1557387,안성
37.2953860,127.1035620,신갈분기점
37.2906077,127.1077094,신갈분기점
36.1595150,128.2665470,김천 분기점
36.1562110,128.2731796,김천 분기점
36.1593984,128.2670117,김천 분기점
35.5547243,129.1244176,서울산IC
35.4965699,129.0943293,통도사IC
35.5537236,129.1240978,서울산IC
37.2383073,127.1055084,기흥 휴게소 (부산 방향)
35.3385733,129.0397451,양산분기점
35.2952159,129.0868760,노포분기점
35.2873612,129.0997207,노포
35.3757916,129.0509142,양산IC
35.4865789,129.0915200,통도사 하이패스
35.5655435,129.1323911,언양분기점
35.5709275,129.1310915,언양분기점
36.8278039,127.1696592,천안
36.4044552,127.4164460,회덕분기점
36.7571517,127.2188177,독립기념관IC
37.1398819,127.0855030,오산
37.1459520,127.0834195,오산
36.7669273,127.1934421,천안분기점
36.7760058,127.1769774,천안분기점
35.5024269,129.0966920,통도사IC
35.3812431,129.0524620,양산IC
37.2899789,127.1041909,신갈분기점
37.4635875,126.6729581,도화
35.4019341,126.6757699,남고창IC
35.3268656,126.8087363,장성분기점
35.3335136,126.7997901,장성분기점
35.2671806,126.8652208,
35.8253570,128.5166711,남대구
34.9803800,127.7528000,진월IC
34.9703690,127.6063680,광양IC
34.9645707,127.6476447,동광양IC
34.9798200,127.7416900,진월IC
35.0404669,127.9025405,진교 나들목
35.2345191,128.5590229,서마산 나들목
35.0843994,128.0411936,축동 나들목
35.0871100,128.0454800,축동 나들목
35.1945991,128.2285411,진성 나들목
35.1729651,128.1631202,문산IC
35.0432078,127.9078976,진교 나들목
35.0039296,127.8184616,하동
35.0554276,127.9635809,곤양 나들목
35.2766710,128.6902836,동창원
35.2886200,128.3934600,함안 나들목
35.2204488,128.8017648,냉정분기점
35.2260801,128.2720849,지수 나들목
35.2833200,128.3275600,군북 나들목
35.2193346,128.9683266,대저 분기점
35.2148423,129.0080120,
35.0003590,127.8110904,하동
35.2748312,128.6489768,창원 분기점
35.2550450,128.5994965,동마산 나들목
34.9861768,127.7091811,옥곡IC
35.2396952,128.5689373,서마산 나들목
35.2202953,128.8502522,서김해
35.2504685,128.5921829,동마산 나들목
35.2212180,128.8424775,서김해
35.2791723,128.7021588,동창원
35.1524353,128.9718018,사상
35.1550775,128.9584955,서부산
35.1727034,128.8716161,가락
35.1567973,128.9464924,서부산
35.1557286,128.9542735,서부산
35.8332971,128.6961435,수성
35.6543425,128.7467006,청도
35.5035059,128.7926786,밀양
35.4024586,128.8151505,삼랑진 나들목
35.2875640,128.9839592,대동분기점
35.2844344,128.9836391,대동분기점
35.4476659,128.7749077,남밀양
35.8383896,128.6905083,수성
37.6202440,129.0365642,옥계
37.5819853,129.0934952,망상IC
37.6135554,129.0620708,옥계 휴게소 (속초 방향)
37.6192426,129.0374843,옥계
37.6917353,128.8952986,남강릉
37.6964066,128.8873866,남강릉
37.7193876,128.8564694,구정 휴게소 (속초 방향)
37.7464349,128.8395253,강릉
37.7249765,128.8498657,구정 휴게소 (삼척 방향)
37.9127500,128.7910900,남양양IC
37.5142151,129.0957200,동해IC
37.7632342,128.8374135,강릉분기점
37.7796718,128.8339285,강릉분기점
37.7538262,128.8390523,강릉
37.5834593,129.0930255,망상IC
35.2713669,128.4720363,산인 분기점
35.2834359,128.5113025,칠원 분기점
35.2835380,128.5152200,칠원 분기점
35.2901926,128.5032729,칠원 분기점
35.0675707,126.6007251,문평IC
35.3255300,129.2351500,장안
35.4111400,129.2579600,온양
35.3303718,129.2387882,장안
35.2801626,129.2251781,기장
35.5205417,129.2483617,문수
35.4151600,129.2624800,온양
37.7573614,127.7829114,춘천분기점
37.7586015,127.7771596,조양
37.7369391,127.6303593,강촌IC
37.7329463,127.6204662,강촌IC
37.7507918,127.7207993,남춘천
37.7536432,127.7282528,남춘천
37.6717017,127.4977351,설악IC
37.5442625,127.1817588,상일
37.5544918,127.1767505,상일
37.5131348,127.1545877,서하남
37.5317595,127.2012704,하남분기점
37.5685892,127.1694178,강일
37.5325117,127.1926941,하남분기점
37.5743224,127.1639871,강일
37.7123700,126.9737200,송추
37.6547773,126.8163464,고양
37.6683526,126.8487911,고양분기점
37.6747200,126.8767500,통일로
37.6948035,127.0521634,의정부
37.6639131,127.1138583,별내
37.7090500,127.0395700,호원
37.6971530,127.0481923,의정부
37.5999287,127.1549446,남양주
37.7155700,126.9776300,송추
36.0987963,126.6895433,서천IC
36.0988516,126.6868052,서천IC
36.0125039,126.7978435,군산 나들목
36.0595686,126.7674849,동서천분기점
36.1330604,126.6250356,서천 휴게소 (목포 방향)
36.1706083,126.6001890,춘장대IC
37.4282978,126.8957794,일직분기점
37.4182694,126.8933944,일직분기점
36.9429080,126.8062735,행담IC
36.9983360,126.8691597,서평택IC
37.1207800,126.8834600,발안IC
37.0590438,126.8894938,서평택분기점
37.2806328,126.8984899,매송IC
35.3007569,126.5587114,영광나들목
35.5064417,126.6832287,선운산IC
35.5945477,126.6968421,줄포IC
35.0057209,126.4925231,무안IC
