pid,property,invest_target,kind,inferred_status,book_value_mn,lon,lat,geo_method
"SK-C 타워 | 서울시 중구 충무로 15_x000D_
(충무로3가 43)",SK-C 타워,오피스,일반,특이공시 있음(계속 공시 가능),,126.992609527219,37.5625869844595,addr
SK-C 타워 | 서울특별시 중구 충무로 15 (충무로3가),SK-C 타워,오피스,일반,특이공시 있음(계속 공시 가능),,126.992609527219,37.5625869844595,addr
"SK-P 타워 | 경기도 성남시 분당구 삼평동 623, 623-1",SK-P 타워,오피스,일반,특이공시 있음(계속 공시 가능),,127.102936591422,37.4027226439054,addr
SK뷰파크 3차 | 경기도 화성시 기산동 478,SK뷰파크 3차,주택(공동주택),일반,최근 투자보고서 있음(계속 운용 추정),,127.047816114231,37.2203325587987,addr
"SPC1945 | 서울특별시 서초구 남부순환로 2620_x000D_
(양재동, 강남피타워)",SPC1945,오피스,일반,조직개편 신호,,127.037325442562,37.484522966337,addr
SPC1945(구.강남 P타워) | 서울특별시 서초구 양재동 11-149 강남 P타워,SPC1945(구.강남 P타워),오피스,일반,조직개편 신호,417752.80933,127.037321007386,37.484471520156,addr
TP타워 | 서울시 영등포구 여의도동 27-2,TP타워,오피스,일반,최근 투자보고서 있음(계속 운용 추정),,126.922836712516,37.5215184101846,addr
TP타워 | 서울시 영등포구 여의도동 27-2번지,TP타워,오피스,일반,최근 투자보고서 있음(계속 운용 추정),,126.922836712516,37.5215184101846,addr
"TP타워 | 서울특별시 영등포구 _x000D_
의사당대로 96",TP타워,오피스,일반,최근 투자보고서 있음(계속 운용 추정),,126.92294256449,37.521547851978,addr
TP타워 | 서울특별시 영등포구 의사당대로 96,TP타워,오피스,일반,최근 투자보고서 있음(계속 운용 추정),,126.92294256449,37.521547851978,addr
The Asset(더 에셋) | 서울특별시 서초구 서초동 1321-20,The Asset(더 에셋),오피스,일반,청산 공시이력+최근보고서(재확인),768967.0,127.026079685197,37.4960252734062,addr
YK빌딩 | 서울특별시 강남구 도곡로 205,YK빌딩,오피스,일반,청산 공시이력+최근보고서(재확인),,127.041364616509,37.4929198247521,addr
"e편한세상 
창원파크센트럴 | 경상남도 창원시 마산회원구 회원남로 65 (회원동)
경상남도 창원시 마산회원구 회원북13길 20 (회원동)","e편한세상 
창원파크센트럴",주택,일반,최근 투자보고서 있음(계속 운용 추정),218667.0,128.569503435739,35.2194026917238,addr
"e편한세상 _x000D_
테라스위례 | 경기도 성남시 수정구 위례동이로 24","e편한세상 _x000D_
테라스위례",주택(공동주택),개발사업,상호·명칭 변경 신호,,127.15182118623,37.4669762504178,addr
e편한세상 시티 원당 | 경기도 고양시 덕양구 성사동 876,e편한세상 시티 원당,주택(공동주택),일반,특이공시 있음(계속 공시 가능),,126.841238705862,37.6544287062935,addr
"e편한세상 창원센트럴 | 경상남도 창원시 마산회원구 회원남로 65 (회원동)
경상남도 창원시 마산회원구 회원북13길 20 (회원동)",e편한세상 창원센트럴,주택,일반,최근 투자보고서 있음(계속 운용 추정),211622.0,128.569503435739,35.2194026917238,addr
"e편한세상 창원센트럴 | 경상남도 창원시 마산회원구 회원남로 65 (회원동)_x000D_
경상남도 창원시 마산회원구 회원북13길 20 (회원동)",e편한세상 창원센트럴,주택(공동주택),일반,최근 투자보고서 있음(계속 운용 추정),,128.569503435739,35.2194026917238,addr
"e편한세상 테라스위례 | 경기도 성남시 수정구
위례동이로 24",e편한세상 테라스위례,주택,일반,상호·명칭 변경 신호,242477.0,127.15182118623,37.4669762504178,addr
e편한세상 테라스위례 | 경기도 성남시 수정구 위례동이로 24,e편한세상 테라스위례,주택,일반,상호·명칭 변경 신호,,127.15182118623,37.4669762504178,addr
e편한세상 테라스위례 | 경기도 성남시 수정구 위례동이로24,e편한세상 테라스위례,주택,일반,상호·명칭 변경 신호,231577.0,127.15182118623,37.4669762504178,addr
wework tower | 서울시 강남구 테헤란로 302,wework tower,오피스,일반,상호·명칭 변경 신호,130351.0,127.043474980423,37.5024293698973,addr
가로수길 자라홈 빌딩 | 서울특별시 강남구 가로수길 77길,가로수길 자라홈 빌딩,복합형,일반,청산·종료 관련 신호,39509.658189999995,127.022304843969,37.5230240201008,addr
가로수길 자라홈 빌딩 | 서울특별시 강남구 신사동 532-11,가로수길 자라홈 빌딩,복합형,일반,청산·종료 관련 신호,39545.206290999995,127.02231062246,37.5230547431975,addr
