var1,var2,n,pearson_r,pearson_p,spearman_r,spearman_p,same_block,block1,block2,q_fdr
cci_total,rtms_fac_med_unit,733,-0.03993565387130685,0.28023021937374964,-0.03894844017885215,0.29230022461100735,False,cci,rtms_fac,0.41845496679921185
rtms_fac_n,excess_pp_med,201,-0.07466114778344365,0.29216972928300633,-0.07452877832304315,0.2930285643716009,False,rtms_fac,excess,0.41938536769136775
rtms_fac_n,minbid_unit_land_mn_m2,498,0.011192954730251108,0.8032361448219154,-0.04717049334626168,0.29344588765701685,False,rtms_fac,valuation,0.4198702599149235
rtms_land_dae_unit_3m,kiscon_cnt_pub,798,0.013204140089388163,0.7095698264314428,-0.03720090815561936,0.29390182001744997,False,rtms_land,kiscon,0.42041012082217893
rtms_land_n_3m,kiscon_amt_priv_yoy_pct,798,-0.035291114714117784,0.31940449585220454,0.03719030434703553,0.2940395468701683,False,rtms_land,kiscon,0.42049463950649635
cci_nonresi,yield_midlarge,798,0.0894210713865801,0.011499209195364804,0.037124743987303054,0.2948920322700826,False,cci,commercial,0.4216009883818534
rtms_fac_n,rtms_fac_unit_3m,765,-0.0789841728994892,0.02893026289053658,0.03790409343474753,0.29508234008124434,True,rtms_fac,rtms_fac,0.4217602973575016
rtms_nrg_n,n_rounds_m,201,0.06175217173993558,0.38383093073362945,-0.07405007123902091,0.29614852208344666,False,rtms_nrg,site_price,0.4231710709727925
bank_loan_rate_all,rtms_apt_n_yoy_pct,798,0.03785232938682871,0.2855236552627708,0.03701966255588523,0.2962618572450563,False,rates,rtms_apt,0.42321991736289505
appraisal_mn,spread_AA_KTB,768,-0.03385470447888053,0.348784534155508,-0.03773024668591819,0.29635586449197904,False,site_price,rates,0.4232411344654412
br_useapr_day,stcns_after_exit,230,0.05787648759966866,0.38228670743262516,0.06912123832491315,0.29657191934704896,False,hub,exit,0.4234365961945717
appr_vs_rtms_all_3m,kfb_understated,414,0.08941636570026848,0.06914133467079912,-0.05133778864612778,0.29736602178541166,False,valuation,exit,0.4243284830716649
house_idx,ap_useapr_day,100,-0.02527569107197218,0.8028820020924605,-0.1052284169607787,0.2974346651491677,False,land_house,hub,0.4243284830716649
rtms_land_dae_med_unit,excess_pp_med,201,-0.014824912969816305,0.8345418752591522,-0.07387556131895515,0.29729135222862957,False,rtms_land,excess,0.4243284830716649
rtms_nrg_med_unit,n_rounds_m,201,0.058743979367235175,0.40746605114368106,-0.07376498860968868,0.2980169828275889,False,rtms_nrg,site_price,0.425045827468423
cci_yoy_pct,hug_sago_last_yr,335,0.01035384542999366,0.8502470502585832,0.05698284819636067,0.29838441001531424,False,cci,hug,0.42545638409383607
rtms_land_n_3m,appr_vs_rtms_dae_3m,765,0.024493783004498483,0.4987497441394989,-0.037628643817879,0.2986079930182726,False,rtms_land,valuation,0.42566167386529025
bldg_area_m2,rtms_land_dae_med_unit,285,-0.09337458203475316,0.11575246374461694,-0.061737964404286166,0.29895945991860906,False,site_price,rtms_land,0.42599945571472
rtms_land_dae_n_3m,kfb_understated,425,0.0251051413870699,0.6057756184042938,0.05049466637887296,0.29900429349118085,False,rtms_land,exit,0.42599945571472
bldg_area_m2,kiscon_cnt_priv_yoy_pct,286,-0.120559377513266,0.04161479215561698,-0.061608883082523595,0.2991190220297822,False,site_price,kiscon,0.42604939019532373
appraisal_mn,vac_office,748,-0.03935270784304294,0.2824209431674333,0.03797940951806182,0.2995688857154314,False,site_price,commercial,0.4265564184613287
cci_resi,reactivated,499,-0.07187993525391978,0.10877485352696134,-0.04652376014672886,0.29963454418192453,False,cci,exit,0.4265564184613287
ap_useapr_day,kiscon_cnt_priv,100,0.039017053215850986,0.6999322408384745,0.10462562348152987,0.3002261274658411,False,hub,kiscon,0.4272848292679937
hug_sago_last_yr,ah_n_pblanc,328,-0.11774718921039999,0.033025589304579106,-0.05721009731877532,0.3015993846360692,False,hug,applyhome,0.429125042482454
cci_bldg,land_chg_pct,798,-0.00014208743398284873,0.9968024694148361,-0.03648297783846066,0.30332419477538064,False,cci,land_house,0.43105157454346504
round_no,appr_vs_rtms_dae_3m,209,-0.009557074547133282,0.8907624254003204,-0.07153331930338602,0.3033564755951111,False,site_price,valuation,0.43105157454346504
cci_total,rtms_nrg_med_unit,797,0.0014908721151548174,0.9664803187008675,0.036520486741099506,0.30313110097993884,False,cci,rtms_nrg,0.43105157454346504
discount_ratio,corp_bond_AA3y,499,-0.04501612710992774,0.3155854340664233,-0.04617561389663229,0.30326948774124124,False,site_price,rates,0.43105157454346504
discount_ratio,rtms_land_dae_med_unit,498,0.06441594634068289,0.15117901670521774,0.04622129283787867,0.3032783128660246,False,site_price,rtms_land,0.43105157454346504
