event,driver,n_event,n_none,med_event,med_none,rank_biserial,p,q_fdr
bid_cut,discount_ratio,226,2627,0.5225879137325247,0.6050309238027721,0.27018436858895545,1.482690047869585e-11,8.303064268069677e-10
bid_reset,rtms_apt_n_yoy_pct,56,4676,-6.350698174006442,4.761904761904767,0.23282262006599042,0.00270460605265481,0.07572896947433468
reappraisal,cci_yoy_pct,158,4574,0.9173604687018112,0.9173604687018112,-0.11311319344893822,0.015224223679164817,0.2841855086777433
bid_cut,rtms_apt_n_yoy_pct,226,4506,0.3858556047439454,4.8387096774193505,0.08905628287160872,0.023661886453331976,0.33126641034664767
bid_reset,base_rate,56,4676,2.5,2.5,-0.12953684467799098,0.033673505865335955,0.3771432656917627
bid_reset,discount_ratio,54,2799,0.6566092569574149,0.6002969929464175,-0.14923980786788937,0.05996588563524845,0.5596815992623189
bid_cut,unsold_total,214,4163,479.0,452.0,-0.06760154543474894,0.09478596970840436,0.581382613938822
reappraisal,rtms_fac_n_yoy_pct,125,3666,0.0,-12.5,-0.08676268412438626,0.09768577328838499,0.581382613938822
bid_cut,unsold_pct_completed,205,3836,0.578,0.601907032181168,0.06599481166865895,0.10798814841169344,0.581382613938822
bid_cut,round_no,20,295,2.0,2.0,-0.1976271186440679,0.11701459797558533,0.581382613938822
reappraisal,rtms_apt_n_yoy_pct,158,4574,1.7857142857142905,4.761904761904767,0.07293978624365571,0.11850390033642717,0.581382613938822
reappraisal,base_rate,158,4574,2.5,2.5,0.0542416409756854,0.13953674594426635,0.581382613938822
reappraisal,rtms_land_n_yoy_pct,157,4567,-5.714285714285716,-10.8,-0.06890751848974719,0.1415003065683185,0.581382613938822
bid_cut,kiscon_amt_priv_yoy_pct,226,4506,19.518716577540097,14.43821724045904,-0.057313945221513896,0.1453456534847055,0.581382613938822
bid_cut,land_chg_pct,226,4506,0.078,0.095,0.054656721225190386,0.16494786565389286,0.600227069926338
bid_cut,excess_pp_med,76,370,0.3515042549690983,1.5803190800078806,0.09957325746799428,0.1714934485503823,0.600227069926338
bid_reset,kiscon_amt_priv_yoy_pct,56,4676,-4.770838917180376,15.114601698990215,0.09467035317120864,0.2225955590572728,0.7112455792189972
bid_reset,ah_under_ratio,45,3780,0.5,0.5625,0.10138741916519689,0.22861465046324914,0.7112455792189972
reappraisal,land_chg_pct,158,4574,0.0955,0.094,-0.05302120405373234,0.25646585210381545,0.7311916091610909
reappraisal,land_chg_cum12_pct,158,4574,1.347,1.2485,-0.05134829221853843,0.27178272248679336,0.7311916091610909
bid_reset,excess_pp_med,14,432,-2.634040039833241,1.6404609135670767,0.17179232804232802,0.2741968534354091,0.7311916091610909
bid_cut,rtms_land_n_yoy_pct,225,4499,-13.33333333333333,-10.679611650485432,0.0390022474130054,0.3227825654486296,0.7472835962750034
reappraisal,apt_idx_yoy_pct,145,4249,-0.8649686631356901,-1.2964789678963529,-0.04817198367161435,0.32322837123730663,0.7472835962750034
bid_cut,land_chg_cum12_pct,226,4506,1.0995,1.2595,0.038508144499565966,0.3279117498149643,0.7472835962750034
reappraisal,unsold_pct_completed,133,3908,0.4766619519094767,0.601907032181168,0.04883177749901879,0.3336087483370551,0.7472835962750034
bid_reset,appr_vs_rtms_dae_3m,55,4493,2.525483902560207,3.151771592762627,0.07189365275276693,0.3587564852051661,0.7727062758265116
reappraisal,vac_office,152,4484,12.4571104747474,12.6775775446145,-0.04026157331330116,0.39754506460109607,0.8245379117652363
reappraisal,ah_under_ratio,133,3692,0.6666666666666666,0.5625,-0.03834545735954187,0.4391430219368744,0.8565246822621101
reappraisal,months_permit_idle,65,1667,44.7,48.3,0.05362004522172492,0.4627905482251321,0.8565246822621101
bid_reset,months_permit_idle,19,1713,54.9,47.7,-0.09623006728730754,0.47022996919497784,0.8565246822621101
bid_cut,apt_idx_yoy_pct,217,4177,-1.264573904982924,-1.2802680848742476,0.028542302647039053,0.47774702725362117,0.8565246822621101
reappraisal,unsold_total,146,4231,348.5,454.0,0.031667762082217665,0.514616260962722,0.8565246822621101
bid_reset,spread_BBB_KTB,56,4676,6.332000000000001,6.338000000000001,0.04882836368080168,0.5285109860284678,0.8565246822621101
bid_reset,rtms_land_n_yoy_pct,56,4668,-2.85180370490738,-10.8,-0.04391219855551465,0.5716138337977935,0.8565246822621101
reappraisal,discount_ratio,103,2750,0.5913918616541962,0.6010171058714748,0.03132215357458079,0.5889147227483236,0.8565246822621101
bid_cut,spread_BBB_KTB,226,4506,6.338000000000001,6.338000000000001,0.021126207338101777,0.5907195206568585,0.8565246822621101
bid_cut,ah_under_ratio,190,3635,0.5161290322580645,0.5625,0.02136248461594148,0.6092501339348202,0.8565246822621101
reappraisal,spread_BBB_KTB,158,4574,6.338000000000001,6.338000000000001,-0.02185163250734745,0.6393592593784911,0.8565246822621101
reappraisal,round_no,10,305,1.0,2.0,0.08229508196721314,0.6399140204399417,0.8565246822621101
bid_reset,land_chg_cum12_pct,56,4676,1.2095,1.2534999999999998,-0.035569167786875244,0.6468112284344657,0.8565246822621101
bid_reset,apt_idx_yoy_pct,53,4341,-0.7470083815782069,-1.2813029120488315,-0.036384104175631204,0.6484583005683395,0.8565246822621101
bid_reset,unsold_pct_completed,51,3990,0.6120789779326364,0.601907032181168,-0.034045899061379004,0.6732086567369291,0.8565246822621101
reappraisal,appr_vs_rtms_dae_3m,156,4392,2.8570590193421497,3.1522633446550823,-0.01857544019429258,0.6929744107279898,0.8565246822621101
reappraisal,kiscon_amt_priv_yoy_pct,158,4574,18.961028227780716,15.114601698990215,-0.018429704493753807,0.6932623746843403,0.8565246822621101
bid_cut,vac_office,222,4414,12.6775775446145,12.6775775446145,0.014260522416390087,0.7193782803759773,0.8565246822621101
bid_reset,unsold_total,54,4323,459.0,453.0,-0.028233993882848862,0.7209932885846484,0.8565246822621101
bid_reset,rtms_fac_n_yoy_pct,45,3746,-5.263157894736848,-11.111111111111116,-0.030521445096992394,0.7238629949782696,0.8565246822621101
reappraisal,excess_pp_med,17,429,5.07009182642641,1.4324377153883905,-0.048676813382695805,0.7341640133675229,0.8565246822621101
bid_cut,appr_vs_rtms_dae_3m,225,4323,3.079395389430601,3.1520811099252937,-0.01258693808312139,0.7499044257855607,0.8570336294692122
bid_cut,base_rate,226,4506,2.5,2.5,0.00760048548837533,0.8058862676144171,0.9025926197281471
bid_cut,rtms_fac_n_yoy_pct,169,3622,-16.666666666666664,-11.111111111111116,0.009503069669573483,0.8339613188845936,0.9157222325007303
bid_reset,vac_office,56,4580,13.939430943006,12.6775775446145,-0.013548814722395441,0.8613918189014426,0.9276527280477074
bid_reset,land_chg_pct,56,4676,0.0805,0.0945,-0.007599596724917612,0.9220440682151089,0.9652301753204602
bid_reset,cci_yoy_pct,56,4676,0.8156355801785198,0.9173604687018112,-0.0061102285225467234,0.9371373691984735,0.9652301753204602
bid_cut,cci_yoy_pct,226,4506,0.9173604687018112,0.9173604687018112,-0.0020297420548414102,0.9587890459576447,0.9652301753204602
bid_cut,months_permit_idle,77,1655,46.8,47.7,-0.0029426766586886366,0.9652301753204602,0.9652301753204602
