var1,var2,n,pearson_r,pearson_p,spearman_r,spearman_p,same_block,block1,block2,abs_r,cluster_boot_p,q_fdr,q_cluster_fdr
rentidx_office,rtms_land_med_unit,4627,0.0442283985370106,0.0026196579101363127,0.004780055996125751,0.745133210530585,False,commercial,rtms_land,0.004780055996125751,,0.8306064002676734,
rtms_land_dae_med_unit,rtms_fac_n_3m,4666,-0.01330217648525522,0.363643964006024,0.004715275073025169,0.7474473206350974,False,rtms_land,rtms_fac,0.004715275073025169,,0.8328007594686013,
rtms_fac_unit_3m,excess_pp_med,405,0.04128291828449716,0.40733750485793846,0.01586105716515859,0.7503096753144373,False,rtms_fac,excess,0.01586105716515859,,0.8356036587374278,
rtms_land_dae_med_unit,ah_supply_sum,3816,-0.00810616431756662,0.6166578799693562,-0.005129227514902445,0.75143326550371,False,rtms_land,applyhome,0.005129227514902445,,0.8361645247696792,
min_bid_mn,unsold_completed,2660,-0.03760850898323999,0.05244774596522383,0.006142460168691869,0.7515072035896785,False,site_price,unsold,0.006142460168691869,,0.8361645247696792,
unsold_total,ah_sale_unit_med,3254,0.025858491517930366,0.1402804218352628,0.0055367255405987985,0.7522171904140762,False,unsold,applyhome,0.0055367255405987985,,0.8363408706743429,
apt_idx_yoy_pct,rtms_land_med_unit,4385,0.0027985062598558496,0.8530229566133527,-0.004764554189645814,0.7524447287316445,False,land_house,rtms_land,0.004764554189645814,,0.8363408706743429,
rtms_fac_n_3m,kiscon_cnt_priv,4732,-0.02895218928534913,0.04642606719160081,0.004581421869609594,0.7527067836069087,False,rtms_fac,kiscon,0.004581421869609594,,0.8363408706743429,
rtms_land_unit_3m,excess_pp_med,446,-0.0063539699681468345,0.8935508894040959,-0.01490325089567606,0.7536185262919607,False,rtms_land,excess,0.01490325089567606,,0.8367234979614593,
unsold_completed,kiscon_amt_priv,4377,0.014699539645330814,0.33091120824345804,0.004743009755565026,0.7537455245121694,False,unsold,kiscon,0.004743009755565026,,0.8367234979614593,
apt_idx,ah_under_ratio,3825,0.01911662135648571,0.23719803871269468,0.00506445462778412,0.7541903656228557,False,land_house,applyhome,0.00506445462778412,,0.8368318513586934,
rtms_land_med_unit,rtms_fac_n,4723,-0.023443837714731956,0.10719034937899798,-0.004545770044294876,0.7547952039528003,False,rtms_land,rtms_fac,0.004545770044294876,,0.8371175524741136,
land_area_m2,kiscon_cnt_priv_yoy_pct,4662,-0.0018095565976179642,0.9016942336753508,0.004507846446032446,0.7583033498471723,False,site_price,kiscon,0.004507846446032446,,0.8406214687818239,
rtms_fac_n_yoy_pct,excess_pp_med,341,0.06638725739080359,0.22141760288787538,-0.01666783383468568,0.7590850968467231,False,rtms_fac,excess,0.01666783383468568,,0.841101187770392,
excess_pp_med,kiscon_cnt_priv_yoy_pct,446,0.029105391195859556,0.5398278611607411,0.014413885315957215,0.7614599172550949,False,excess,kiscon,0.014413885315957215,,0.8430063317018006,
appraisal_mn,rtms_land_n_yoy_pct,4568,-0.00026513986059153994,0.9857065838964547,0.004491809412543041,0.7615040597986805,False,site_price,rtms_land,0.004491809412543041,,0.8430063317018006,
unsold_completed,n_rounds_m,432,-0.020272700885596323,0.674352122890923,0.014614410351255658,0.7619730071291232,False,unsold,site_price,0.014614410351255658,,0.8431381759325927,
rtms_apt_med_unit,minbid_vs_rtms_all_3m,2850,0.006604184387138426,0.7245261961226663,-0.005612880204094836,0.7645458205180512,False,rtms_apt,valuation,0.005612880204094836,,0.8455968001140447,
appraisal_mn,kiscon_amt_pub,4576,-0.0026624217919615683,0.8571104360123817,0.0044188079438958645,0.765065877233169,False,site_price,kiscon,0.0044188079438958645,,0.8457838367577694,
land_area_m2,n_rounds_m,442,0.010826984810463073,0.820434316946781,0.014209328904892475,0.7657770944880977,True,site_price,site_price,0.014209328904892475,,0.8458723559177721,
round_no,house_idx,315,-0.0017937151754245095,0.9747043169802531,-0.016837087317639936,0.7659613328382635,False,site_price,land_house,0.016837087317639936,,0.8458723559177721,
bldg_area_m2,rentidx_office,1311,-0.005691406884575187,0.8368861771617803,-0.008220051006880462,0.766198901646679,False,site_price,commercial,0.008220051006880462,,0.8458723559177721,
vac_office,excess_pp_med,442,0.007225077066197752,0.8796046695936832,-0.014009354595288367,0.7689793626145466,False,commercial,excess,0.014009354595288367,,0.8484241364602901,
rtms_land_unit_3m,kiscon_amt_all,4732,-0.011754115675182078,0.4188750561004494,0.004260269329156247,0.7695329694384225,False,rtms_land,kiscon,0.004260269329156247,,0.8484241364602901,
rtms_fac_n,kiscon_amt_priv_yoy_pct,4732,-0.02232715618235012,0.12462171160838227,-0.004256586149968546,0.7697265904436145,False,rtms_fac,kiscon,0.004256586149968546,,0.8484241364602901,
rentidx_office,excess_pp_med,442,0.03347834540699629,0.4826507126662968,0.013938398369808763,0.7701165607656397,False,commercial,excess,0.013938398369808763,,0.8484241364602901,
appr_vs_rtms_dae_3m,n_rounds_m,442,-0.03561815612779607,0.455096522031571,-0.013928792863096468,0.7702705438071016,False,valuation,site_price,0.013928792863096468,,0.8484241364602901,
appr_vs_rtms_all_3m,ah_under_ratio,3664,0.021878411301984084,0.18549362798766006,0.0048052963627397815,0.7712258946666785,False,valuation,applyhome,0.0048052963627397815,,0.8490883536531271,
rtms_nrg_n_yoy_pct,appr_unit_land_mn_m2,4532,0.00016907445403404654,0.9909210877293924,0.004309528581280208,0.771786137973085,False,rtms_nrg,valuation,0.004309528581280208,,0.8493171655320251,
round_no,rtms_fac_med_unit,256,0.00690228740573072,0.9124907044523406,0.018008710038471695,0.7743018229706785,False,site_price,rtms_fac,0.018008710038471695,,0.8513977537727051,
appr_vs_rtms_all_3m,kiscon_cnt_priv,4548,0.012305708940529092,0.4067161748142176,-0.004246182111205926,0.7746634742451568,False,valuation,kiscon,0.004246182111205926,,0.8513977537727051,
min_bid_mn,n_rounds_m,405,-0.07630305636874818,0.12526133779777385,0.014256688472657614,0.7748489609453346,True,site_price,site_price,0.014256688472657614,,0.8513977537727051,
rtms_land_med_unit,rtms_nrg_med_unit,4702,0.010386108878354226,0.47645419924382265,0.004167909162065469,0.7750899053017904,False,rtms_land,rtms_nrg,0.004167909162065469,,0.8513977537727051,
land_area_m2,rtms_nrg_n,4662,-0.026397357968970112,0.07151210724253182,0.004157458337738011,0.776570139681017,False,site_price,rtms_nrg,0.004157458337738011,,0.8526350964151485,
minbid_vs_rtms_dae_3m,ah_n_pblanc,2393,0.002015469440618173,0.9215019834105667,-0.005722675907263865,0.7796312603333407,False,valuation,applyhome,0.005722675907263865,,0.8553111345719021,
land_chg_pct,ah_rate_med,3478,0.0040177203993842356,0.8127660851040245,0.004744189324064161,0.7797172459147174,False,land_house,applyhome,0.004744189324064161,,0.8553111345719021,
rtms_land_dae_med_unit,excess_pp_med,440,0.027819733779422706,0.560563767191033,0.013090280149411897,0.7842270450187295,False,rtms_land,excess,0.013090280149411897,,0.8598667782052494,
yield_midlarge,rtms_fac_n,4732,-0.0008495991406072805,0.953407632969225,0.003964415399922544,0.7851304897531304,False,commercial,rtms_fac,0.003964415399922544,,0.8604658846316708,
rtms_fac_unit_3m,rtms_nrg_n_yoy_pct,4352,-0.01978257685084294,0.19195985336382082,0.004124912573819401,0.785589578155751,False,rtms_fac,rtms_nrg,0.004124912573819401,,0.8605776742524364,
rtms_fac_unit_3m,kiscon_amt_priv_yoy_pct,4363,-0.0063282170321791505,0.6760332559517156,0.004105652334079979,0.786303256757293,False,rtms_fac,kiscon,0.004105652334079979,,0.8609681275715929,
round_no,apt_idx,315,-0.0032657249425399465,0.9539632212740621,-0.01521466182840337,0.7879485307732055,False,site_price,land_house,0.01521466182840337,,0.8623202064862403,
unsold_total,kiscon_amt_priv_yoy_pct,4377,-0.019128943061472874,0.20576233040912606,0.004054201330636728,0.7885869459032616,False,unsold,kiscon,0.004054201330636728,,0.8623202064862403,
rtms_land_dae_med_unit,unsold_pct_completed,3995,0.00947150686709413,0.5495181910461302,0.004243216608291246,0.7886115083384537,False,rtms_land,unsold,0.004243216608291246,,0.8623202064862403,
rtms_apt_n_yoy_pct,appr_vs_rtms_dae_3m,4548,0.03395033513408119,0.022044365486706685,-0.003952071843233532,0.7898918898438789,False,rtms_apt,valuation,0.003952071843233532,,0.863328550804421,
excess_pp_med,kiscon_amt_indiv,446,-0.028878070698839957,0.5429997579282483,-0.012564308754943836,0.7913115861984348,False,excess,kiscon,0.012564308754943836,,0.8644222037364501,
rtms_land_dae_med_unit,rtms_fac_n_yoy_pct,3758,-0.04350272228415833,0.007648561178060976,-0.004311524933690551,0.7916098770316785,False,rtms_land,rtms_fac,0.004311524933690551,,0.8644222037364501,
appr_vs_rtms_all_3m,ah_sale_unit_med,3345,-0.0022526815932641902,0.8963785215918652,-0.004549747707042969,0.7925181256963468,False,valuation,applyhome,0.004549747707042969,,0.865022048427625,
land_chg_cum12_pct,rtms_fac_med_unit,3740,-0.042553059275775,0.009250249664694402,0.004289840424221743,0.7931202156637014,False,land_house,rtms_fac,0.004289840424221743,,0.8652873335217386,
bldg_area_m2,rtms_fac_n_yoy_pct,1031,-0.006692955958518893,0.8300424770307643,-0.008031151952683922,0.7967425652028054,False,site_price,rtms_fac,0.008031151952683922,,0.8688170210790315,
land_chg_pct,rtms_apt_unit_3m,4732,0.06741822706788379,3.455129895848077e-06,0.0037242361456598164,0.797856886040744,False,land_house,rtms_apt,0.0037242361456598164,,0.8688170210790315,
rtms_nrg_n_3m,kiscon_cnt_pub,4732,0.02167003230846381,0.13610526906427942,-0.003699688764332661,0.7991606726886508,False,rtms_nrg,kiscon,0.003699688764332661,,0.8688170210790315,
rentidx_midlarge,yield_office,4636,0.13849725574667526,2.7148286110359596e-21,-0.0037354051606742255,0.7992875667205658,True,commercial,commercial,0.0037354051606742255,,0.8688170210790315,
bldg_area_m2,ah_n_pblanc,1111,0.011620188154746818,0.6988322436725134,0.007627152791515351,0.7995394188248518,False,site_price,applyhome,0.007627152791515351,,0.8688170210790315,
house_idx_yoy_pct,ah_sale_unit_med,3327,0.021558658064657003,0.21380008282450114,0.004401748697662984,0.799650569428191,False,land_house,applyhome,0.004401748697662984,,0.8688170210790315,
ah_n_pblanc,kiscon_amt_all,3877,0.013532976891957555,0.3995611595156949,0.0040773557178592655,0.7996515978524692,False,applyhome,kiscon,0.0040773557178592655,,0.8688170210790315,
rtms_land_med_unit,kiscon_cnt_indiv,4723,0.016336182616640264,0.26166395422754046,-0.0036922954129464105,0.7997402166119997,False,rtms_land,kiscon,0.0036922954129464105,,0.8688170210790315,
rtms_land_n,excess_pp_med,446,0.002441240421682516,0.9589978217205815,0.012038819863726817,0.7998509009459746,False,rtms_land,excess,0.012038819863726817,,0.8688170210790315,
rtms_nrg_med_unit,appr_unit_land_mn_m2,4527,-0.003971396989286003,0.7893654479865156,0.003767181775139164,0.7999605683711082,False,rtms_nrg,valuation,0.003767181775139164,,0.8688170210790315,
